reference;type_article;designation;prix_achat;devise_prix_achat;prix_vente;devise_prix_vente;tva;remarque;marque;categorie;emplacement;unite
ART58617713;Produit;Porte-serviette 60 cm à fixer sur le verre. Antique Brass.;873;EUR;;MAD;20;;;;;
ART58617845;Produit;Porte-serviette 60 cm à fixer sur le verre. Dark Bronze.;873;EUR;;MAD;20;;;;;
ART73579726;Produit;Partie apparente pour mitigeur murale 2 sorties avec inverseur bain-douche. RIGATO. Warm Bronze Br. Pvd.;706;EUR;;MAD;20;;;;;
ART73579299;Produit;Partie apparente pour mitigeur murale 2 sorties avec inverseur bain-douche. RIGATO. Matte Black.;603;EUR;;MAD;20;;;;;
ART73579031;Produit;Partie apparente pour mitigeur murale 2 sorties avec inverseur bain-douche. RIGATO. Chrome.;447;EUR;;MAD;20;;;;;
ART73579149;Produit;Partie apparente pour mitigeur murale 2 sorties avec inverseur bain-douche. RIGATO. Finox Brushed Nickel.;603;EUR;;MAD;20;;;;;
ART73579030;Produit;Partie apparente pour mitigeur murale 2 sorties avec inverseur bain-douche. RIGATO. Copper Pvd.;661;EUR;;MAD;20;;;;;
ART73579706;Produit;Partie apparente pour mitigeur murale 2 sorties avec inverseur bain-douche. RIGATO. Black Metal Pvd.;661;EUR;;MAD;20;;;;;
ART73579707;Produit;Partie apparente pour mitigeur murale 2 sorties avec inverseur bain-douche. RIGATO. Black Metal Br. Pvd.;706;EUR;;MAD;20;;;;;
ART73579708;Produit;Partie apparente pour mitigeur murale 2 sorties avec inverseur bain-douche. RIGATO. Copper Brushed Pvd.;706;EUR;;MAD;20;;;;;
ART73579710;Produit;Partie apparente pour mitigeur murale 2 sorties avec inverseur bain-douche. RIGATO. Brass Pvd.;661;EUR;;MAD;20;;;;;
ART73579727;Produit;Partie apparente pour mitigeur murale 2 sorties avec inverseur bain-douche. RIGATO. Brass Brushed Pvd.;706;EUR;;MAD;20;;;;;
ART73579735;Produit;Partie apparente pour mitigeur murale 2 sorties avec inverseur bain-douche. RIGATO. Warm Bronze Pvd.;661;EUR;;MAD;20;;;;;
ART45590726;Produit;Poubelle blanche. Warm Bronze Br. Pvd.;700;EUR;;MAD;20;;;;;
ART45590279;Produit;Poubelle blanche. Matte White.;601;EUR;;MAD;20;;;;;
ART45590299;Produit;Poubelle blanche. Matte Black.;601;EUR;;MAD;20;;;;;
ART45590149;Produit;Poubelle blanche. Finox Brushed Nickel.;601;EUR;;MAD;20;;;;;
ART45590031;Produit;Poubelle blanche. Chrome.;445;EUR;;MAD;20;;;;;
ART45590187;Produit;Poubelle blanche. Aged Bronze.;700;EUR;;MAD;20;;;;;
ART45590030;Produit;Poubelle blanche. Copper Pvd.;656;EUR;;MAD;20;;;;;
ART45590706;Produit;Poubelle blanche. Black Metal Pvd.;656;EUR;;MAD;20;;;;;
ART45590707;Produit;Poubelle blanche. Black Metal Br. Pvd.;700;EUR;;MAD;20;;;;;
ART45590716;Produit;Poubelle blanche. Gold Brushed Pvd.;748;EUR;;MAD;20;;;;;
ART45590708;Produit;Poubelle blanche. Copper Brushed Pvd.;700;EUR;;MAD;20;;;;;
ART45590727;Produit;Poubelle blanche. Brass Brushed Pvd.;700;EUR;;MAD;20;;;;;
ART45590735;Produit;Poubelle blanche. Warm Bronze Pvd.;656;EUR;;MAD;20;;;;;
ART45590246;Produit;Poubelle blanche. Gold Pvd.;747;EUR;;MAD;20;;;;;
ART45590713;Produit;Poubelle blanche. Antique Brass.;700;EUR;;MAD;20;;;;;
ART45590845;Produit;Poubelle blanche. Dark Bronze.;700;EUR;;MAD;20;;;;;
ART45590710;Produit;Poubelle blanche. Brass Pvd.;656;EUR;;MAD;20;;;;;
ART45590720;Produit;Poubelle blanche. Nickel Pvd.;656;EUR;;MAD;20;;;;;
ART68700031;Produit;Recharge de 500 ml pour diffuseur Chrome.;356;EUR;;MAD;20;;;;;
ART54405726;Produit;Commande séparée. Warm Bronze Br. Pvd.;570;EUR;;MAD;20;;;;;
ART54405239;Produit;Commande séparée. Steel Brushed.;385;EUR;;MAD;20;;;;;
ART54405299;Produit;Commande séparée. Matte Black.;520;EUR;;MAD;20;;;;;
ART54405707;Produit;Commande séparée. Black Metal Br. Pvd.;570;EUR;;MAD;20;;;;;
ART54405708;Produit;Commande séparée. Copper Brushed Pvd.;570;EUR;;MAD;20;;;;;
ART54405727;Produit;Commande séparée. Brass Brushed Pvd.;570;EUR;;MAD;20;;;;;
ART63554726;Produit;Pomme de douche anticalcaire latérale orientable. Warm Bronze Br. Pvd.;1,225;EUR;;MAD;20;;;;;
ART63554727;Produit;Pomme de douche anticalcaire latérale orientable. Brass Brushed Pvd.;1,225;EUR;;MAD;20;;;;;
ART63554735;Produit;Pomme de douche anticalcaire latérale orientable. Warm Bronze Pvd.;1,147;EUR;;MAD;20;;;;;
ART63554713;Produit;Pomme de douche anticalcaire latérale orientable. Antique Brass.;1,225;EUR;;MAD;20;;;;;
ART63554299;Produit;Pomme de douche anticalcaire latérale orientable. Matte Black.;1,047;EUR;;MAD;20;;;;;
ART63554031;Produit;Pomme de douche anticalcaire latérale orientable. Chrome.;775;EUR;;MAD;20;;;;;
ART63554149;Produit;Pomme de douche anticalcaire latérale orientable. Finox Brushed Nickel.;1,047;EUR;;MAD;20;;;;;
ART63554187;Produit;Pomme de douche anticalcaire latérale orientable. Aged Bronze.;1,225;EUR;;MAD;20;;;;;
ART63554030;Produit;Pomme de douche anticalcaire latérale orientable. Copper Pvd.;1,147;EUR;;MAD;20;;;;;
ART63554706;Produit;Pomme de douche anticalcaire latérale orientable. Black Metal Pvd.;1,147;EUR;;MAD;20;;;;;
ART63554707;Produit;Pomme de douche anticalcaire latérale orientable. Black Metal Br. Pvd.;1,225;EUR;;MAD;20;;;;;
ART63554708;Produit;Pomme de douche anticalcaire latérale orientable. Copper Brushed Pvd.;1,225;EUR;;MAD;20;;;;;
ART63554710;Produit;Pomme de douche anticalcaire latérale orientable. Brass Pvd.;1,147;EUR;;MAD;20;;;;;
ART63554720;Produit;Pomme de douche anticalcaire latérale orientable. Nickel Pvd.;1,147;EUR;;MAD;20;;;;;
ART67613726;Produit;Charnière gauche mur-verre avec rehausseur sur louverture. DIAMANTATO. Epaisseur du verre 8-10 mm. Poids maximum de la porte 40Kg, largeur maximum 900mm. Warm Bronze Br. Pvd.;1,510;EUR;;MAD;20;;;;;
ART67613147;Produit;Charnière gauche mur-verre avec rehausseur sur louverture. DIAMANTATO. Epaisseur du verre 8-10 mm. Poids maximum de la porte 40Kg, largeur maximum 900mm. Chrome Brushed.;1,291;EUR;;MAD;20;;;;;
ART67613713;Produit;Charnière gauche mur-verre avec rehausseur sur louverture. DIAMANTATO. Epaisseur du verre 8-10 mm. Poids maximum de la porte 40Kg, largeur maximum 900mm. Antique Brass.;1,510;EUR;;MAD;20;;;;;
ART67613246;Produit;Charnière gauche mur-verre avec rehausseur sur louverture. DIAMANTATO. Epaisseur du verre 8-10 mm. Poids maximum de la porte 40Kg, largeur maximum 900mm. Gold Pvd.;1,606;EUR;;MAD;20;;;;;
ART67613708;Produit;Charnière gauche mur-verre avec rehausseur sur louverture. DIAMANTATO. Epaisseur du verre 8-10 mm. Poids maximum de la porte 40Kg, largeur maximum 900mm. Copper Brushed Pvd.;1,510;EUR;;MAD;20;;;;;
ART67613706;Produit;Charnière gauche mur-verre avec rehausseur sur louverture. DIAMANTATO. Epaisseur du verre 8-10 mm. Poids maximum de la porte 40Kg, largeur maximum 900mm. Black Metal Pvd.;1,415;EUR;;MAD;20;;;;;
ART67613707;Produit;Charnière gauche mur-verre avec rehausseur sur louverture. DIAMANTATO. Epaisseur du verre 8-10 mm. Poids maximum de la porte 40Kg, largeur maximum 900mm. Black Metal Br. Pvd.;1,510;EUR;;MAD;20;;;;;
ART67613149;Produit;Charnière gauche mur-verre avec rehausseur sur louverture. DIAMANTATO. Epaisseur du verre 8-10 mm. Poids maximum de la porte 40Kg, largeur maximum 900mm. Finox Brushed Nickel.;1,291;EUR;;MAD;20;;;;;
ART67613299;Produit;Charnière gauche mur-verre avec rehausseur sur louverture. DIAMANTATO. Epaisseur du verre 8-10 mm. Poids maximum de la porte 40Kg, largeur maximum 900mm. Matte Black.;1,291;EUR;;MAD;20;;;;;
ART67613710;Produit;Charnière gauche mur-verre avec rehausseur sur louverture. DIAMANTATO. Epaisseur du verre 8-10 mm. Poids maximum de la porte 40Kg, largeur maximum 900mm. Brass Pvd.;1,415;EUR;;MAD;20;;;;;
ART67613187;Produit;Charnière gauche mur-verre avec rehausseur sur louverture. DIAMANTATO. Epaisseur du verre 8-10 mm. Poids maximum de la porte 40Kg, largeur maximum 900mm. Aged Bronze.;1,510;EUR;;MAD;20;;;;;
ART67613720;Produit;Charnière gauche mur-verre avec rehausseur sur louverture. DIAMANTATO. Epaisseur du verre 8-10 mm. Poids maximum de la porte 40Kg, largeur maximum 900mm. Nickel Pvd.;1,415;EUR;;MAD;20;;;;;
ART67613031;Produit;Charnière gauche mur-verre avec rehausseur sur louverture. DIAMANTATO. Epaisseur du verre 8-10 mm. Poids maximum de la porte 40Kg, largeur maximum 900mm. Chrome.;956;EUR;;MAD;20;;;;;
ART67613030;Produit;Charnière gauche mur-verre avec rehausseur sur louverture. DIAMANTATO. Epaisseur du verre 8-10 mm. Poids maximum de la porte 40Kg, largeur maximum 900mm. Copper Pvd.;1,415;EUR;;MAD;20;;;;;
ART67613716;Produit;Charnière gauche mur-verre avec rehausseur sur louverture. DIAMANTATO. Epaisseur du verre 8-10 mm. Poids maximum de la porte 40Kg, largeur maximum 900mm. Gold Brushed Pvd.;1,606;EUR;;MAD;20;;;;;
ART67613727;Produit;Charnière gauche mur-verre avec rehausseur sur louverture. DIAMANTATO. Epaisseur du verre 8-10 mm. Poids maximum de la porte 40Kg, largeur maximum 900mm. Brass Brushed Pvd.;1,510;EUR;;MAD;20;;;;;
ART67613735;Produit;Charnière gauche mur-verre avec rehausseur sur louverture. DIAMANTATO. Epaisseur du verre 8-10 mm. Poids maximum de la porte 40Kg, largeur maximum 900mm. Warm Bronze Pvd.;1,415;EUR;;MAD;20;;;;;
ART67613845;Produit;Charnière gauche mur-verre avec rehausseur sur louverture. DIAMANTATO. Epaisseur du verre 8-10 mm. Poids maximum de la porte 40Kg, largeur maximum 900mm. Dark Bronze.;1,510;EUR;;MAD;20;;;;;
ART09280031;Produit;Partie encastrée pour mitigeur lavabo mural Chrome.;250;EUR;;MAD;20;;;;;
ART20043726;Produit;Mitigeur bain-douche trois trous sur plan avec flexible 1,50 m et douchette extractible anticalcaire. Warm Bronze Br. Pvd.;1,516;EUR;;MAD;20;;;;;
ART20043708;Produit;Mitigeur bain-douche trois trous sur plan avec flexible 1,50 m et douchette extractible anticalcaire. Copper Brushed Pvd.;1,516;EUR;;MAD;20;;;;;
ART20043710;Produit;Mitigeur bain-douche trois trous sur plan avec flexible 1,50 m et douchette extractible anticalcaire. Brass Pvd.;1,420;EUR;;MAD;20;;;;;
ART20043720;Produit;Mitigeur bain-douche trois trous sur plan avec flexible 1,50 m et douchette extractible anticalcaire. Nickel Pvd.;1,420;EUR;;MAD;20;;;;;
ART20043727;Produit;Mitigeur bain-douche trois trous sur plan avec flexible 1,50 m et douchette extractible anticalcaire. Brass Brushed Pvd.;1,516;EUR;;MAD;20;;;;;
ART20043735;Produit;Mitigeur bain-douche trois trous sur plan avec flexible 1,50 m et douchette extractible anticalcaire. Warm Bronze Pvd.;1,420;EUR;;MAD;20;;;;;
ART20043299;Produit;Mitigeur bain-douche trois trous sur plan avec flexible 1,50 m et douchette extractible anticalcaire. Matte Black.;1,296;EUR;;MAD;20;;;;;
ART20043031;Produit;Mitigeur bain-douche trois trous sur plan avec flexible 1,50 m et douchette extractible anticalcaire. Chrome.;960;EUR;;MAD;20;;;;;
ART20043149;Produit;Mitigeur bain-douche trois trous sur plan avec flexible 1,50 m et douchette extractible anticalcaire. Finox Brushed Nickel.;1,296;EUR;;MAD;20;;;;;
ART20043030;Produit;Mitigeur bain-douche trois trous sur plan avec flexible 1,50 m et douchette extractible anticalcaire. Copper Pvd.;1,420;EUR;;MAD;20;;;;;
ART20043706;Produit;Mitigeur bain-douche trois trous sur plan avec flexible 1,50 m et douchette extractible anticalcaire. Black Metal Pvd.;1,420;EUR;;MAD;20;;;;;
ART20043707;Produit;Mitigeur bain-douche trois trous sur plan avec flexible 1,50 m et douchette extractible anticalcaire. Black Metal Br. Pvd.;1,516;EUR;;MAD;20;;;;;
ART63004726;Produit;Partie apparente pour mitigeur thermostatique deux fonctions avec touche on/off Warm Bronze Br. Pvd.;1,603;EUR;;MAD;20;;;;;
ART63004299;Produit;Partie apparente pour mitigeur thermostatique deux fonctions avec touche on/off Matte Black.;1,371;EUR;;MAD;20;;;;;
ART63004727;Produit;Partie apparente pour mitigeur thermostatique deux fonctions avec touche on/off Brass Brushed Pvd.;1,603;EUR;;MAD;20;;;;;
ART63004031;Produit;Partie apparente pour mitigeur thermostatique deux fonctions avec touche on/off Chrome.;1,014;EUR;;MAD;20;;;;;
ART63004707;Produit;Partie apparente pour mitigeur thermostatique deux fonctions avec touche on/off Black Metal Br. Pvd.;1,603;EUR;;MAD;20;;;;;
ART63004735;Produit;Partie apparente pour mitigeur thermostatique deux fonctions avec touche on/off Warm Bronze Pvd.;1,500;EUR;;MAD;20;;;;;
ART63004149;Produit;Partie apparente pour mitigeur thermostatique deux fonctions avec touche on/off Finox Brushed Nickel.;1,371;EUR;;MAD;20;;;;;
ART63004713;Produit;Partie apparente pour mitigeur thermostatique deux fonctions avec touche on/off Antique Brass.;1,603;EUR;;MAD;20;;;;;
ART63004716;Produit;Partie apparente pour mitigeur thermostatique deux fonctions avec touche on/off Gold Brushed Pvd.;1,704;EUR;;MAD;20;;;;;
ART63004708;Produit;Partie apparente pour mitigeur thermostatique deux fonctions avec touche on/off Copper Brushed Pvd.;1,603;EUR;;MAD;20;;;;;
ART63004187;Produit;Partie apparente pour mitigeur thermostatique deux fonctions avec touche on/off Aged Bronze.;1,603;EUR;;MAD;20;;;;;
ART63004246;Produit;Partie apparente pour mitigeur thermostatique deux fonctions avec touche on/off Gold Pvd.;1,704;EUR;;MAD;20;;;;;
ART63004030;Produit;Partie apparente pour mitigeur thermostatique deux fonctions avec touche on/off Copper Pvd.;1,500;EUR;;MAD;20;;;;;
ART63004710;Produit;Partie apparente pour mitigeur thermostatique deux fonctions avec touche on/off Brass Pvd.;1,500;EUR;;MAD;20;;;;;
ART63004720;Produit;Partie apparente pour mitigeur thermostatique deux fonctions avec touche on/off Nickel Pvd.;1,500;EUR;;MAD;20;;;;;
ART63004706;Produit;Partie apparente pour mitigeur thermostatique deux fonctions avec touche on/off Black Metal Pvd.;1,500;EUR;;MAD;20;;;;;
ART58423726;Produit;Poignée de soutien pour baignoire/douche 45 cm. Warm Bronze Br. Pvd.;1,352;EUR;;MAD;20;;;;;
ART58423187;Produit;Poignée de soutien pour baignoire/douche 45 cm. Aged Bronze.;1,352;EUR;;MAD;20;;;;;
ART58423030;Produit;Poignée de soutien pour baignoire/douche 45 cm. Copper Pvd.;1,265;EUR;;MAD;20;;;;;
ART58423299;Produit;Poignée de soutien pour baignoire/douche 45 cm. Matte Black.;1,154;EUR;;MAD;20;;;;;
ART58423031;Produit;Poignée de soutien pour baignoire/douche 45 cm. Chrome.;855;EUR;;MAD;20;;;;;
ART58423149;Produit;Poignée de soutien pour baignoire/douche 45 cm. Finox Brushed Nickel.;1,154;EUR;;MAD;20;;;;;
ART58423706;Produit;Poignée de soutien pour baignoire/douche 45 cm. Black Metal Pvd.;1,265;EUR;;MAD;20;;;;;
ART58423707;Produit;Poignée de soutien pour baignoire/douche 45 cm. Black Metal Br. Pvd.;1,352;EUR;;MAD;20;;;;;
ART58423716;Produit;Poignée de soutien pour baignoire/douche 45 cm. Gold Brushed Pvd.;1,437;EUR;;MAD;20;;;;;
ART58423708;Produit;Poignée de soutien pour baignoire/douche 45 cm. Copper Brushed Pvd.;1,352;EUR;;MAD;20;;;;;
ART58423246;Produit;Poignée de soutien pour baignoire/douche 45 cm. Gold Pvd.;1,436;EUR;;MAD;20;;;;;
ART58423710;Produit;Poignée de soutien pour baignoire/douche 45 cm. Brass Pvd.;1,265;EUR;;MAD;20;;;;;
ART58423720;Produit;Poignée de soutien pour baignoire/douche 45 cm. Nickel Pvd.;1,265;EUR;;MAD;20;;;;;
ART58423727;Produit;Poignée de soutien pour baignoire/douche 45 cm. Brass Brushed Pvd.;1,352;EUR;;MAD;20;;;;;
ART58423735;Produit;Poignée de soutien pour baignoire/douche 45 cm. Warm Bronze Pvd.;1,265;EUR;;MAD;20;;;;;
ART58423713;Produit;Poignée de soutien pour baignoire/douche 45 cm. Antique Brass.;1,352;EUR;;MAD;20;;;;;
ART58423845;Produit;Poignée de soutien pour baignoire/douche 45 cm. Dark Bronze.;1,352;EUR;;MAD;20;;;;;
ART01709031;Produit;Système antireflux UNI ENI 1717, facultatif pour 38473, 38439, 44639 et 44673 Chrome.;40;EUR;;MAD;20;;;;;
ART37573518;Produit;Cuvette suspendue en Céramique Blanc Europe (6 litres) avec abattant muni de système “SOFT CLOSE” ou assisté. Charnière en finiton 031 chromée White Ceramic.;934;EUR;;MAD;20;;;;;
ART68702031;Produit;Boite de 6 recharges de 500 ml pour diffuseur Chrome.;2,052;EUR;;MAD;20;;;;;
ART54419726;Produit;Partie apparente pour mitigeur mural, 1 sortie. Warm Bronze Br. Pvd.;369;EUR;;MAD;20;;;;;
ART54419239;Produit;Partie apparente pour mitigeur mural, 1 sortie. Steel Brushed.;250;EUR;;MAD;20;;;;;
ART54419299;Produit;Partie apparente pour mitigeur mural, 1 sortie. Matte Black.;338;EUR;;MAD;20;;;;;
ART54419707;Produit;Partie apparente pour mitigeur mural, 1 sortie. Black Metal Br. Pvd.;369;EUR;;MAD;20;;;;;
ART54419708;Produit;Partie apparente pour mitigeur mural, 1 sortie. Copper Brushed Pvd.;369;EUR;;MAD;20;;;;;
ART54419727;Produit;Partie apparente pour mitigeur mural, 1 sortie. Brass Brushed Pvd.;369;EUR;;MAD;20;;;;;
ART67693726;Produit;Charnière droite MUR-VERRE avec fonction délévation. DIAMANTATO. Epaisseur du verre 8-10 mm. Poids maximum de la porte 40Kg, largeur maximum 900mm. Warm Bronze Br. Pvd.;1,510;EUR;;MAD;20;;;;;
ART67693735;Produit;Charnière droite MUR-VERRE avec fonction délévation. DIAMANTATO. Epaisseur du verre 8-10 mm. Poids maximum de la porte 40Kg, largeur maximum 900mm. Warm Bronze Pvd.;1,415;EUR;;MAD;20;;;;;
ART67693713;Produit;Charnière droite MUR-VERRE avec fonction délévation. DIAMANTATO. Epaisseur du verre 8-10 mm. Poids maximum de la porte 40Kg, largeur maximum 900mm. Antique Brass.;1,510;EUR;;MAD;20;;;;;
ART67693845;Produit;Charnière droite MUR-VERRE avec fonction délévation. DIAMANTATO. Epaisseur du verre 8-10 mm. Poids maximum de la porte 40Kg, largeur maximum 900mm. Dark Bronze.;1,510;EUR;;MAD;20;;;;;
ART67693299;Produit;Charnière droite MUR-VERRE avec fonction délévation. DIAMANTATO. Epaisseur du verre 8-10 mm. Poids maximum de la porte 40Kg, largeur maximum 900mm. Matte Black.;1,291;EUR;;MAD;20;;;;;
ART67693031;Produit;Charnière droite MUR-VERRE avec fonction délévation. DIAMANTATO. Epaisseur du verre 8-10 mm. Poids maximum de la porte 40Kg, largeur maximum 900mm. Chrome.;956;EUR;;MAD;20;;;;;
ART67693149;Produit;Charnière droite MUR-VERRE avec fonction délévation. DIAMANTATO. Epaisseur du verre 8-10 mm. Poids maximum de la porte 40Kg, largeur maximum 900mm. Finox Brushed Nickel.;1,291;EUR;;MAD;20;;;;;
ART67693147;Produit;Charnière droite MUR-VERRE avec fonction délévation. DIAMANTATO. Epaisseur du verre 8-10 mm. Poids maximum de la porte 40Kg, largeur maximum 900mm. Chrome Brushed.;1,291;EUR;;MAD;20;;;;;
ART67693187;Produit;Charnière droite MUR-VERRE avec fonction délévation. DIAMANTATO. Epaisseur du verre 8-10 mm. Poids maximum de la porte 40Kg, largeur maximum 900mm. Aged Bronze.;1,510;EUR;;MAD;20;;;;;
ART67693030;Produit;Charnière droite MUR-VERRE avec fonction délévation. DIAMANTATO. Epaisseur du verre 8-10 mm. Poids maximum de la porte 40Kg, largeur maximum 900mm. Copper Pvd.;1,415;EUR;;MAD;20;;;;;
ART67693727;Produit;Charnière droite MUR-VERRE avec fonction délévation. DIAMANTATO. Epaisseur du verre 8-10 mm. Poids maximum de la porte 40Kg, largeur maximum 900mm. Brass Brushed Pvd.;1,510;EUR;;MAD;20;;;;;
ART67693706;Produit;Charnière droite MUR-VERRE avec fonction délévation. DIAMANTATO. Epaisseur du verre 8-10 mm. Poids maximum de la porte 40Kg, largeur maximum 900mm. Black Metal Pvd.;1,415;EUR;;MAD;20;;;;;
ART67693707;Produit;Charnière droite MUR-VERRE avec fonction délévation. DIAMANTATO. Epaisseur du verre 8-10 mm. Poids maximum de la porte 40Kg, largeur maximum 900mm. Black Metal Br. Pvd.;1,510;EUR;;MAD;20;;;;;
ART67693716;Produit;Charnière droite MUR-VERRE avec fonction délévation. DIAMANTATO. Epaisseur du verre 8-10 mm. Poids maximum de la porte 40Kg, largeur maximum 900mm. Gold Brushed Pvd.;1,606;EUR;;MAD;20;;;;;
ART67693708;Produit;Charnière droite MUR-VERRE avec fonction délévation. DIAMANTATO. Epaisseur du verre 8-10 mm. Poids maximum de la porte 40Kg, largeur maximum 900mm. Copper Brushed Pvd.;1,510;EUR;;MAD;20;;;;;
ART67693246;Produit;Charnière droite MUR-VERRE avec fonction délévation. DIAMANTATO. Epaisseur du verre 8-10 mm. Poids maximum de la porte 40Kg, largeur maximum 900mm. Gold Pvd.;1,606;EUR;;MAD;20;;;;;
ART67693710;Produit;Charnière droite MUR-VERRE avec fonction délévation. DIAMANTATO. Epaisseur du verre 8-10 mm. Poids maximum de la porte 40Kg, largeur maximum 900mm. Brass Pvd.;1,415;EUR;;MAD;20;;;;;
ART67693720;Produit;Charnière droite MUR-VERRE avec fonction délévation. DIAMANTATO. Epaisseur du verre 8-10 mm. Poids maximum de la porte 40Kg, largeur maximum 900mm. Nickel Pvd.;1,415;EUR;;MAD;20;;;;;
ART75288726;Produit;Partie apparente mitigeur mural, Sospeso. Warm Bronze Br. Pvd.;1,185;EUR;;MAD;20;;;;;
ART75288299;Produit;Partie apparente mitigeur mural, Sospeso. Matte Black.;1,013;EUR;;MAD;20;;;;;
ART75288031;Produit;Partie apparente mitigeur mural, Sospeso. Chrome.;750;EUR;;MAD;20;;;;;
ART75288149;Produit;Partie apparente mitigeur mural, Sospeso. Finox Brushed Nickel.;1,013;EUR;;MAD;20;;;;;
ART75288030;Produit;Partie apparente mitigeur mural, Sospeso. Copper Pvd.;1,110;EUR;;MAD;20;;;;;
ART75288706;Produit;Partie apparente mitigeur mural, Sospeso. Black Metal Pvd.;1,110;EUR;;MAD;20;;;;;
ART75288707;Produit;Partie apparente mitigeur mural, Sospeso. Black Metal Br. Pvd.;1,185;EUR;;MAD;20;;;;;
ART75288708;Produit;Partie apparente mitigeur mural, Sospeso. Copper Brushed Pvd.;1,185;EUR;;MAD;20;;;;;
ART75288710;Produit;Partie apparente mitigeur mural, Sospeso. Brass Pvd.;1,110;EUR;;MAD;20;;;;;
ART75288720;Produit;Partie apparente mitigeur mural, Sospeso. Nickel Pvd.;1,110;EUR;;MAD;20;;;;;
ART75288727;Produit;Partie apparente mitigeur mural, Sospeso. Brass Brushed Pvd.;1,185;EUR;;MAD;20;;;;;
ART75288735;Produit;Partie apparente mitigeur mural, Sospeso. Warm Bronze Pvd.;1,110;EUR;;MAD;20;;;;;
ART75288845;Produit;Partie apparente mitigeur mural, Sospeso. Dark Bronze.;1,185;EUR;;MAD;20;;;;;
ART75288791;Produit;Partie apparente mitigeur mural, Sospeso. Deep Bronze Brushed Pvd.;1,260;EUR;;MAD;20;;;;;
ART75288761;Produit;Partie apparente mitigeur mural, Sospeso. Coffee Bronze Brushed Pvd.;1,260;EUR;;MAD;20;;;;;
ART63556726;Produit;Pomme de douche anticalcaire latérale orientable. MULTI-FONCTION Warm Bronze Br. Pvd.;1,225;EUR;;MAD;20;;;;;
ART63556299;Produit;Pomme de douche anticalcaire latérale orientable. MULTI-FONCTION Matte Black.;1,047;EUR;;MAD;20;;;;;
ART63556727;Produit;Pomme de douche anticalcaire latérale orientable. MULTI-FONCTION Brass Brushed Pvd.;1,225;EUR;;MAD;20;;;;;
ART63556735;Produit;Pomme de douche anticalcaire latérale orientable. MULTI-FONCTION Warm Bronze Pvd.;1,147;EUR;;MAD;20;;;;;
ART63556031;Produit;Pomme de douche anticalcaire latérale orientable. MULTI-FONCTION Chrome.;775;EUR;;MAD;20;;;;;
ART63556149;Produit;Pomme de douche anticalcaire latérale orientable. MULTI-FONCTION Finox Brushed Nickel.;1,047;EUR;;MAD;20;;;;;
ART63556187;Produit;Pomme de douche anticalcaire latérale orientable. MULTI-FONCTION Aged Bronze.;1,225;EUR;;MAD;20;;;;;
ART63556713;Produit;Pomme de douche anticalcaire latérale orientable. MULTI-FONCTION Antique Brass.;1,225;EUR;;MAD;20;;;;;
ART63556030;Produit;Pomme de douche anticalcaire latérale orientable. MULTI-FONCTION Copper Pvd.;1,147;EUR;;MAD;20;;;;;
ART63556706;Produit;Pomme de douche anticalcaire latérale orientable. MULTI-FONCTION Black Metal Pvd.;1,147;EUR;;MAD;20;;;;;
ART63556707;Produit;Pomme de douche anticalcaire latérale orientable. MULTI-FONCTION Black Metal Br. Pvd.;1,225;EUR;;MAD;20;;;;;
ART63556708;Produit;Pomme de douche anticalcaire latérale orientable. MULTI-FONCTION Copper Brushed Pvd.;1,225;EUR;;MAD;20;;;;;
ART63556710;Produit;Pomme de douche anticalcaire latérale orientable. MULTI-FONCTION Brass Pvd.;1,147;EUR;;MAD;20;;;;;
ART63556720;Produit;Pomme de douche anticalcaire latérale orientable. MULTI-FONCTION Nickel Pvd.;1,147;EUR;;MAD;20;;;;;
ART44602726;Produit;Partie apparente mitigeur douche mural une sorties Warm Bronze Br. Pvd.;593;EUR;;MAD;20;;;;;
ART44602735;Produit;Partie apparente mitigeur douche mural une sorties Warm Bronze Pvd.;547;EUR;;MAD;20;;;;;
ART44602031;Produit;Partie apparente mitigeur douche mural une sorties Chrome.;324;EUR;;MAD;20;;;;;
ART44602299;Produit;Partie apparente mitigeur douche mural une sorties Matte Black.;487;EUR;;MAD;20;;;;;
ART44602707;Produit;Partie apparente mitigeur douche mural une sorties Black Metal Br. Pvd.;593;EUR;;MAD;20;;;;;
ART44602149;Produit;Partie apparente mitigeur douche mural une sorties Finox Brushed Nickel.;487;EUR;;MAD;20;;;;;
ART44602030;Produit;Partie apparente mitigeur douche mural une sorties Copper Pvd.;547;EUR;;MAD;20;;;;;
ART44602706;Produit;Partie apparente mitigeur douche mural une sorties Black Metal Pvd.;547;EUR;;MAD;20;;;;;
ART44602708;Produit;Partie apparente mitigeur douche mural une sorties Copper Brushed Pvd.;593;EUR;;MAD;20;;;;;
ART44602727;Produit;Partie apparente mitigeur douche mural une sorties Brass Brushed Pvd.;593;EUR;;MAD;20;;;;;
ART44602710;Produit;Partie apparente mitigeur douche mural une sorties Brass Pvd.;547;EUR;;MAD;20;;;;;
ART44602720;Produit;Partie apparente mitigeur douche mural une sorties Nickel Pvd.;547;EUR;;MAD;20;;;;;
ART63006726;Produit;Partie apparente pour mitigeur thermostatique trois fonctions avec touche on/off Warm Bronze Br. Pvd.;1,682;EUR;;MAD;20;;;;;
ART63006149;Produit;Partie apparente pour mitigeur thermostatique trois fonctions avec touche on/off Finox Brushed Nickel.;1,437;EUR;;MAD;20;;;;;
