reference;type_article;designation;prix_achat;devise_prix_achat;prix_vente;devise_prix_vente;tva;remarque;marque;categorie;emplacement;unite
ART75051707;Produit;Mitigeur lavabo avec bonde Stop&Go et flexibles de raccordement. Black Metal Br. Pvd.;933;EUR;;MAD;20;;;;;
ART75051708;Produit;Mitigeur lavabo avec bonde Stop&Go et flexibles de raccordement. Copper Brushed Pvd.;933;EUR;;MAD;20;;;;;
ART75051710;Produit;Mitigeur lavabo avec bonde Stop&Go et flexibles de raccordement. Brass Pvd.;874;EUR;;MAD;20;;;;;
ART75051720;Produit;Mitigeur lavabo avec bonde Stop&Go et flexibles de raccordement. Nickel Pvd.;874;EUR;;MAD;20;;;;;
ART75051727;Produit;Mitigeur lavabo avec bonde Stop&Go et flexibles de raccordement. Brass Brushed Pvd.;933;EUR;;MAD;20;;;;;
ART75051735;Produit;Mitigeur lavabo avec bonde Stop&Go et flexibles de raccordement. Warm Bronze Pvd.;874;EUR;;MAD;20;;;;;
ART75051845;Produit;Mitigeur lavabo avec bonde Stop&Go et flexibles de raccordement. Dark Bronze.;933;EUR;;MAD;20;;;;;
ART75051791;Produit;Mitigeur lavabo avec bonde Stop&Go et flexibles de raccordement. Deep Bronze Brushed Pvd.;992;EUR;;MAD;20;;;;;
ART75051761;Produit;Mitigeur lavabo avec bonde Stop&Go et flexibles de raccordement. Coffee Bronze Brushed Pvd.;992;EUR;;MAD;20;;;;;
ART54406726;Produit;Mitigeur lavabo réhaussé, bec long. Sans vidage, avec flexibles de raccordement. Warm Bronze Br. Pvd.;949;EUR;;MAD;20;;;;;
ART54406299;Produit;Mitigeur lavabo réhaussé, bec long. Sans vidage, avec flexibles de raccordement. Matte Black.;868;EUR;;MAD;20;;;;;
ART54406707;Produit;Mitigeur lavabo réhaussé, bec long. Sans vidage, avec flexibles de raccordement. Black Metal Br. Pvd.;949;EUR;;MAD;20;;;;;
